XCoordinate,YCoordinate,TimeInSeconds
91,169,12.597
129,173,12.614
164,173,12.632
188,174,12.648
235,175,12.664
269,178,12.682
285,179,12.698
312,179,12.716
328,178,12.731
334,177,12.749
343,174,12.765
351,172,12.782
352,170,12.799
353,169,12.815
353,168,12.832
354,168,12.849
354,167,12.865
353,166,12.889
346,166,12.899
341,158,12.915
309,135,12.932
273,124,12.95
185,109,12.966
97,107,12.983
61,107,13
13,187,13.249
51,190,13.266
99,193,13.283
131,194,13.299
167,194,13.316
191,194,13.332
226,194,13.35
258,192,13.366
269,192,13.383
287,190,13.4
296,190,13.416
302,189,13.435
307,188,13.451
313,188,13.468
318,187,13.484
323,186,13.501
326,186,13.517
326,185,13.534
327,185,13.55
327,184,13.615
327,183,13.634
331,183,13.943
346,182,13.969
378,180,13.984
429,180,14.001
464,183,14.017
517,187,14.034
546,190,14.052
578,192,14.068
598,192,14.085
614,192,14.101
618,192,14.119
622,192,14.135
621,192,14.31
617,192,14.32
612,192,14.335
588,192,14.352
543,192,14.369
513,193,14.386
454,196,14.403
411,197,14.419
398,197,14.436
377,198,14.453
363,199,14.469
352,199,14.485
342,200,14.505
334,202,14.52
333,202,14.537
331,203,14.553
331,205,14.569
329,205,14.587
331,205,14.667
333,205,14.687
343,206,14.703
375,209,14.72
437,214,14.737
469,219,14.755
528,232,14.772
554,235,14.787
603,236,14.803
642,235,14.821
672,224,14.837
682,220,14.854
702,213,14.87
715,209,14.887
719,209,14.903
726,206,14.921
729,204,14.937
731,204,14.953
732,203,14.971
732,202,14.987
732,200,15.003
732,193,15.021
728,179,15.037
725,170,15.054
719,166,15.07
701,145,15.088
664,124,15.105
649,116,15.12
614,102,15.138
585,96,15.154
568,95,15.17
528,97,15.188
469,116,15.204
447,126,15.222
411,137,15.241
386,145,15.255
377,149,15.271
362,158,15.289
351,172,15.305
349,177,15.323
348,187,15.338
348,193,15.354
348,196,15.372
348,197,15.387
352,200,15.405
358,208,15.421
362,213,15.438
371,222,15.456
383,237,15.473
391,245,15.488
403,257,15.505
421,267,15.522
429,269,15.54
457,270,15.556
521,256,15.572
551,249,15.589
608,234,15.606
652,218,15.621
666,210,15.638
686,202,15.656
694,196,15.672
697,193,15.689
698,187,15.705
699,175,15.723
694,154,15.739
688,145,15.755
676,130,15.772
659,107,15.789
651,96,15.806
635,79,15.822
617,73,15.839
607,70,15.855
585,70,15.873
555,75,15.889
526,89,15.907
469,126,15.923
408,156,15.94
385,172,15.956
353,196,15.973
335,209,15.99
329,214,16.007
318,224,16.023
316,228,16.04
315,230,16.057
315,232,16.073
318,242,16.09
327,254,16.107
334,260,16.124
353,268,16.14
384,269,16.157
412,269,16.173
482,258,16.19
556,240,16.207
621,220,16.224
629,217,16.24
682,203,16.257
697,196,16.275
724,183,16.29
744,168,16.308
753,160,16.324
767,149,16.341
778,139,16.358
784,137,16.374
791,124,16.391
794,107,16.408
795,86,16.425
795,75,16.441
795,53,16.458
796,44,16.474
796,43,16.491
796,42,16.507
794,40,16.525
791,36,16.541
781,29,16.558
778,26,16.576
773,20,16.595
771,17,16.61
769,13,16.626
768,12,16.643
767,12,16.659
767,13,16.724
767,14,16.752
767,15,16.762
767,16,16.777
767,17,16.824
NA,NA,17.1
